URL,Error
http://darkdir2pjbenfhvaxo6r27hpwmwh5xxw5htvzxgoxxmnggqwv5mt4yd.onion,"SOCKSHTTPConnectionPool(host='darkdir2pjbenfhvaxo6r27hpwmwh5xxw5htvzxgoxxmnggqwv5mt4yd.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb154fba790>: Failed to establish a new connection: 0x04: Host unreachable'))"
http://darkdir2pjbenfhvaxo6r27hpwmwh5xxw5htvzxgoxxmnggqwv5mt4yd.onion,"SOCKSHTTPConnectionPool(host='darkdir2pjbenfhvaxo6r27hpwmwh5xxw5htvzxgoxxmnggqwv5mt4yd.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15d7440d0>: Failed to establish a new connection: 0x04: Host unreachable'))"
http://7ep7acrkunzdcw3l.onion,"SOCKSHTTPConnectionPool(host='7ep7acrkunzdcw3l.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb156755250>: Failed to establish a new connection: 0x06: TTL expired'))"
http://pointgg344ghbo2s.onion,"SOCKSHTTPConnectionPool(host='pointgg344ghbo2s.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb154feeee0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://zsionvz2kfzttpv3.onion,"SOCKSHTTPConnectionPool(host='zsionvz2kfzttpv3.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15c013c40>: Failed to establish a new connection: 0x06: TTL expired'))"
http://7nzsnve2pej6ok663t4o2enpww2udrrarxxmlsnrzo3gcjidvku2vfad.onion,"SOCKSHTTPConnectionPool(host='7nzsnve2pej6ok663t4o2enpww2udrrarxxmlsnrzo3gcjidvku2vfad.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1577011c0>: Failed to establish a new connection: 0x04: Host unreachable'))"
http://cgmcoopwhempo6a5.onion,"SOCKSHTTPConnectionPool(host='cgmcoopwhempo6a5.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15d9c20a0>: Failed to establish a new connection: 0x06: TTL expired'))"
http://berluscqui3nj4qz.onion,"SOCKSHTTPConnectionPool(host='berluscqui3nj4qz.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb15660d040>: Failed to establish a new connection: 0x06: TTL expired'))"
http://lq46uemafsc6il2g.onion,"SOCKSHTTPConnectionPool(host='lq46uemafsc6il2g.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb157fd8d00>: Failed to establish a new connection: 0x06: TTL expired'))"
http://kryptocg6rptq3wd.onion,"SOCKSHTTPConnectionPool(host='kryptocg6rptq3wd.onion', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSConnection object at 0x7fb1564e6430>: Failed to establish a new connection: 0x06: TTL expired'))"
